# Per-particle forces (Hartree/Bohr). Reference: cav-hoomd.
# particle  Fx_openmm  Fy_openmm  Fz_openmm  Fx_hoomd  Fy_hoomd  Fz_hoomd  max_abs_diff
198  6.391995e-03  -1.382851e-02  -2.751523e-03  6.396264e-03  -1.383038e-02  -2.748917e-03  4.269276e-06
199  -8.206517e-03  1.432465e-02  4.675581e-03  -8.208384e-03  1.432418e-02  4.673156e-03  2.424514e-06
200  -1.055760e-02  3.022375e-02  -3.195589e-02  -1.055921e-02  3.022595e-02  -3.195897e-02  3.082966e-06
201  9.931638e-03  -3.124488e-02  3.397930e-02  9.933265e-03  -3.124572e-02  3.397750e-02  1.799210e-06
202  9.819316e-04  1.534429e-03  1.410186e-02  9.804257e-04  1.536263e-03  1.410107e-02  1.833584e-06
203  -2.160450e-03  -1.313035e-03  -1.460145e-02  -2.157083e-03  -1.312478e-03  -1.460105e-02  3.366670e-06
204  -4.162492e-03  9.790206e-03  1.236475e-04  -4.165565e-03  9.791590e-03  1.225558e-04  3.072285e-06
205  3.592265e-03  -9.982278e-03  1.864582e-04  3.590389e-03  -9.983211e-03  1.858510e-04  1.876592e-06
206  -6.903305e-02  1.123350e-02  -2.867954e-02  -6.903314e-02  1.123428e-02  -2.867790e-02  1.638312e-06
207  6.946228e-02  -1.231465e-02  2.877355e-02  6.945918e-02  -1.231726e-02  2.877591e-02  3.106099e-06
208  4.703438e-03  3.005369e-03  -1.025819e-04  4.699729e-03  3.005651e-03  -1.034852e-04  3.709445e-06
209  -4.403804e-03  -4.285556e-03  -9.829841e-04  -4.403878e-03  -4.286495e-03  -9.828899e-04  9.392527e-07
210  -3.455992e-03  2.313900e-03  2.091743e-03  -3.459373e-03  2.318683e-03  2.093590e-03  4.782324e-06
211  2.809260e-03  -4.752634e-03  -2.047834e-04  2.806516e-03  -4.752801e-03  -2.091029e-04  4.319546e-06
212  -2.021482e-04  2.716807e-03  2.941437e-03  -2.035784e-04  2.715917e-03  2.938927e-03  2.510216e-06
213  1.210462e-03  -1.097224e-03  -1.464404e-03  1.212677e-03  -1.096883e-03  -1.459298e-03  5.106482e-06
214  1.095872e-02  -2.076333e-03  -6.203917e-03  1.095508e-02  -2.076450e-03  -6.205569e-03  3.634803e-06
215  -1.158936e-02  1.328273e-03  7.123303e-03  -1.158995e-02  1.329600e-03  7.123576e-03  1.326268e-06
216  -3.442613e-03  -9.971633e-04  3.404661e-03  -2.740618e-03  -8.374956e-04  3.036234e-03  7.019957e-04
217  5.174196e-03  1.579083e-03  -2.273801e-03  4.470604e-03  1.419454e-03  -1.904028e-03  7.035925e-04
218  -5.105918e-03  -2.932405e-03  4.660803e-03  -5.108630e-03  -2.930307e-03  4.663515e-03  2.711695e-06
219  6.374222e-03  2.252479e-03  -3.515498e-03  6.377048e-03  2.251708e-03  -3.517896e-03  2.825333e-06
