# Real-time dipole moment data
# time_ps dipole_x dipole_y dipole_z
4.046750 -712312.173802 -339541.490276 -325682.190001
4.047000 47971.232273 288196.523531 -280276.313592
4.047250 -352076.955243 250995.343262 223718.492631
4.047500 86262.657864 -366057.587767 410424.865865
4.047750 -167885.147589 -374860.558213 625261.828792
4.048000 -251670.317283 29076.978682 348856.648674
4.048250 -25395.368070 -99099.844142 510047.240374
4.048500 -115859.274308 116813.624959 -105046.367855
4.048750 154913.080295 44096.190739 349761.190944
4.049000 -123991.644702 -312481.974455 561307.042230
4.049250 -228892.193655 477434.190264 -267947.479156
4.049500 -844190.010556 -79238.934453 -11544.079438
4.049750 -34730.309181 -171617.017564 63508.213809
4.050000 400758.838673 -192769.512409 247998.722063
4.050250 -5268.447821 441263.399177 -369503.914802
4.050500 -425947.430883 -460978.618797 509339.286668
4.050750 43135.528019 26242.067197 168215.485367
4.051000 -37574.602138 -69692.012929 281125.656833
4.051250 -294008.729280 162626.246905 60007.008980
4.051500 -156897.359112 170778.203264 -234619.606181
4.051750 303364.687760 907278.929283 447797.462252
4.052000 28128.306373 264637.752423 84601.176238
4.052250 -951563.534080 -275857.006945 590387.368024
4.052500 99793.096607 -91242.982719 -17271.346991
4.052750 933299.699675 643605.989745 -33328.954601
4.053000 111320.112099 -52021.422741 -352792.053679
4.053250 -597421.979910 -694209.664675 359113.703552
4.053500 -1270986.666896 -250592.379406 433599.178249
4.053750 -12880.775432 -24416.899459 -67226.872296
4.054000 -129909.093375 150221.616122 -159376.163596
4.054250 -181425.684063 24260.712479 -38515.582263
4.054500 -520692.791942 -66209.149566 16195.401290
4.054750 110868.878422 186768.433910 17164.237860
4.055000 -694868.360380 -116312.848721 -140342.830184
4.055250 -334766.032248 -347569.264201 66982.479434
4.055500 271353.518362 509878.568068 390196.090032
4.055750 70935.820991 -53682.804320 438629.239634
4.056000 -782317.404066 113843.806894 212821.480766
4.056250 122433.095399 461717.859396 -292310.086274
4.056500 117095.780016 24981.573601 323871.055284
4.056750 202623.008231 -282415.970439 251279.185809
4.057000 -62179.916976 -377180.439949 578220.529158
4.057250 -27356.504903 307406.153808 -39782.354496
4.057500 -490185.464665 -2753.957814 312250.822440
4.057750 -173179.213982 -12233.535496 -199233.181821
4.058000 -72905.911693 192257.989385 160205.965695
4.058250 -80859.767089 20398.284221 157680.602572
4.058500 433328.961269 41213.243326 72372.885235
4.058750 -415147.976971 -127406.731740 -24308.217785
4.059000 952855.799649 538757.645077 -613974.879177
4.059250 265428.648737 189769.839314 -317535.986800
4.059500 -67184.285919 -83544.283408 31548.545435
4.059750 234399.370538 78943.054812 -311112.306051
4.060000 215818.485995 485422.969550 -120073.221465
4.060250 132186.636990 242514.819956 23466.766974
4.060500 -210104.315337 -112880.805953 -146014.638244
4.060750 203109.427301 -860579.189907 520587.565572
4.061000 -777101.658526 -398528.008315 102836.077973
4.061250 -362301.078243 132961.837611 -422811.798091
4.061500 103639.004729 -181310.404581 46344.291129
4.061750 100462.371033 175236.049724 486745.536596
4.062000 113278.467762 427044.073173 26067.725139
4.062250 -290420.492829 -383981.113999 -151709.500719
4.062500 407439.331393 380058.274775 -1005979.378632
4.062750 152496.433216 -143117.156442 264814.431259
4.063000 -215579.234428 311926.231294 -240043.951156
4.063250 230083.167015 144414.445754 215550.871386
4.063500 -157078.105699 84575.074040 131030.931699
4.063750 -289150.599966 58975.944121 273419.088285
4.064000 -185879.277679 -37133.526630 -7486.896568
4.064250 -336684.636872 194461.136686 245951.467432
4.064500 199506.218010 -226861.796761 93896.869336
4.064750 91235.552561 292540.924066 -47065.590464
4.065000 -522182.068950 -253891.760718 163887.623888
4.065250 -245163.486632 -9071.243698 25766.313025
4.065500 -114803.820208 -83146.570347 299627.582532
4.065750 655620.156136 836612.418397 -148642.566912
4.066000 -222830.641161 -156190.572759 -384793.262387
4.066250 146142.135205 -349311.007186 644068.633708
4.066500 -154455.557193 220142.975569 -20237.506108
4.066750 -24855.757137 71587.329949 35378.110083
4.067000 -329966.699341 -184405.642124 397896.354577
4.067250 -86182.651647 139360.971835 272211.505538
4.067500 70851.143891 283975.549489 180791.904098
4.067750 14905.081485 -17661.616379 347979.621547
4.068000 -450114.630986 -96036.312734 102361.659889
4.068250 -157141.637184 290685.445478 196541.909174
4.068500 -624664.417010 101218.712921 264362.737071
4.068750 -233053.086443 -384381.172420 165123.584666
4.069000 -94283.697609 2308.384778 -204491.272579
4.069250 -250446.820591 -5718.899369 -98173.066909
4.069500 -579722.269328 -296260.003142 106288.699236
